idmun,nmun,lat,lon,dh,ides
10,El Barrio de la Soledad      ,16.8039,-95.1122,6,20
12,Candelaria Loxicha           ,15.9263,-96.4919,6,20
14,Ciudad Ixtepec               ,16.5677,-95.0987,6,20
15,Coatecas Altas               ,16.5368,-96.665,6,20
22,Chalchihuitán                ,16.9634,-92.6184,6,7
16,Coicoyán de las Flores       ,17.2729,-98.2761,6,20
17,La Compañía                  ,16.5582,-96.82,6,20
18,Concepción Buenavista        ,17.8785,-97.4002,6,20
19,Concepción Pápalo            ,17.8414,-96.8814,6,20
21,Cosolapa                     ,18.6018,-96.6824,6,20
22,Cosoltepec                   ,18.142,-97.7907,6,20
24,Cuyamecalco Villa de Zaragoza,17.9651,-96.8314,6,20
25,Chahuites                    ,16.2876,-94.1958,6,20
23,Chamula                      ,16.7875,-92.6892,6,7
26,Chalcatongo de Hidalgo       ,17.032,-97.571,6,20
28,Heroica Ciudad de Ejutla de C,16.5643,-96.7319,6,20
29,Eloxochitlán de Flores Magón ,18.1769,-96.8761,6,20
30,El Espinal                   ,16.4857,-95.0428,6,20
31,Tamazulápam del Espíritu Sant,17.0544,-96.0651,6,20
32,Fresnillo de Trujano         ,17.908,-98.1363,6,20
33,Guadalupe Etla               ,17.1716,-96.8106,6,20
34,Guadalupe de Ramírez         ,17.7561,-98.1644,6,20
35,Guelatao de Juárez           ,17.3182,-96.4937,6,20
24,Chanal                       ,16.6601,-92.2599,6,7
36,Guevea de Humboldt           ,16.7926,-95.3681,6,20
37,Mesones Hidalgo              ,16.9154,-97.9665,6,20
38,Villa Hidalgo                ,17.1859,-96.1788,6,20
39,Heroica Ciudad de Huajuapan d,17.8068,-97.7762,6,20
40,Huautepec                    ,18.102,-96.7973,6,20
41,Huautla de Jiménez           ,18.1304,-96.8462,6,20
42,Ixtlán de Juárez             ,17.3315,-96.4878,6,20
43,Heroica Ciudad de Juchitán de,16.4333,-95.0216,6,20
44,Loma Bonita                  ,18.1099,-95.88,6,20
25,Chapultenango                ,17.3404,-93.1301,6,7
46,Magdalena Jaltepec           ,17.3236,-97.2213,6,20
48,Magdalena Mixtepec           ,16.8961,-96.9077,6,20
50,Magdalena Peñasco            ,17.2363,-97.5515,6,20
51,Magdalena Teitipac           ,16.9066,-96.5587,6,20
52,Magdalena Tequisistlán       ,16.3989,-95.6029,6,20
53,Magdalena Tlacotepec         ,16.504,-95.2033,6,20
55,Mariscala de Juárez          ,17.8605,-98.1416,6,20
26,Chenalhó                     ,16.8943,-92.6261,6,7
56,Mártires de Tacubaya         ,16.538,-98.2509,6,20
57,Matías Romero Avendaño       ,16.8779,-95.0421,6,20
58,Mazatlán Villa de Flores     ,18.0326,-96.9137,6,20
59,Miahuatlán de Porfirio Díaz  ,16.3285,-96.5965,6,20
60,Mixistlán de la Reforma      ,17.1468,-96.11200000000001,6,20
64,Nejapa de Madero             ,16.6082,-95.9804,6,20
65,Ixpantepec Nieves            ,17.5067,-98.0449,6,20
27,Chiapa de Corzo              ,16.708,-93.016,6,7
66,Santiago Niltepec            ,16.5621,-94.613,6,20
67,Oaxaca de Juárez             ,17.06,-96.7255,6,20
68,Ocotlán de Morelos           ,16.7916,-96.6751,6,20
71,Pluma Hidalgo                ,15.9258,-96.4194,6,20
72,San José del Progreso        ,16.6851,-96.6855,6,20
73,Putla Villa de Guerrero      ,17.0262,-97.9282,6,20
74,Santa Catarina Quioquitani   ,16.3157,-96.285,6,20
28,Chiapilla                    ,16.5705,-92.72,6,7
76,La Reforma                   ,16.6233,-97.8445,6,20
79,Salina Cruz                  ,16.1759,-95.1922,6,20
80,San Agustín Amatengo         ,16.5099,-96.7893,6,20
81,San Agustín Atenango         ,17.6117,-98.0152,6,20
82,San Agustín Chayuco          ,16.4024,-97.8075,6,20
84,San Agustín Etla             ,17.1891,-96.7644,6,20
85,San Agustín Loxicha          ,16.0166,-96.6168,6,20
29,Chicoasén                    ,16.9673,-93.1052,6,7
86,San Agustín Tlacotepec       ,17.2037,-97.5179,6,20
88,San Andrés Cabecera Nueva    ,16.8884,-97.681,6,20
89,San Andrés Dinicuiti         ,17.6881,-97.7268,6,20
90,San Andrés Huaxpaltepec      ,16.329,-97.9163,6,20
93,San Andrés Lagunas           ,17.5744,-97.5227,6,20
94,San Andrés Nuxiño            ,17.2384,-97.1053,6,20
95,San Andrés Paxtlán           ,16.2156,-96.5076,6,20
11,San Francisco de los Romo    ,22.0724,-102.2727,6,1
30,Chicomuselo                  ,15.7449,-92.2833,6,7
97,San Andrés Solaga            ,17.271,-96.2369,6,20
98,San Andrés Teotilálpam       ,17.9541,-96.6566,6,20
100,San Andrés Yaá               ,17.2926,-96.1536,6,20
102,San Andrés Zautla            ,17.1864,-96.8635,6,20
104,San Antonino el Alto         ,16.8157,-97.0294,6,20
105,San Antonino Monte Verde     ,17.5336,-97.7206,6,20
31,Chilón                       ,17.1055,-92.2715,6,7
108,San Antonio Huitepec         ,16.9273,-97.1474,6,20
109,San Antonio Nanahuatípam     ,18.1303,-97.1236,6,20
110,San Antonio Sinicahua        ,17.1516,-97.568,6,20
111,San Antonio Tepetlapa        ,16.5424,-98.0662,6,20
112,San Baltazar Chichicápam     ,16.7621,-96.4897,6,20
113,San Baltazar Loxicha         ,16.0733,-96.7903,6,20
114,San Baltazar Yatzachi el Bajo,17.2282,-96.2198,6,20
32,Escuintla                    ,15.3193,-92.6586,6,7
116,San Bartolomé Ayautla        ,18.0318,-96.6715,6,20
117,San Bartolomé Loxicha        ,15.9704,-96.711,6,20
119,San Bartolomé Yucuañe        ,17.2425,-97.4479,6,20
121,San Bartolo Soyaltepec       ,17.5906,-97.3089,6,20
122,San Bartolo Yautepec         ,16.4307,-95.9731,6,20
123,San Bernardo Mixtepec        ,16.8247,-96.8987,6,20
124,San Blas Atempa              ,16.3263,-95.2275,6,20
125,San Carlos Yautepec          ,16.5006,-96.1067,6,20
33,Francisco León               ,17.2859,-93.2729,6,7
126,San Cristóbal Amatlán        ,16.3184,-96.41,6,20
130,San Dionisio del Mar         ,16.3205,-94.757,6,20
131,San Dionisio Ocotepec        ,16.7978,-96.396,6,20
133,San Esteban Atatlahuca       ,17.0665,-97.6778,6,20
134,San Felipe Jalapa de Díaz    ,18.0713,-96.5361,6,20
135,San Felipe Tejalápam         ,17.1114,-96.8533,6,20
34,Frontera Comalapa            ,15.6602,-92.1411,6,7
136,San Felipe Usila             ,17.8794,-96.5284,6,20
137,San Francisco Cahuacuá       ,16.8936,-97.3056,6,20
141,San Francisco del Mar        ,16.3394,-94.515,6,20
143,San Francisco Ixhuatán       ,16.3524,-94.4838,6,20
144,San Francisco Jaltepetongo   ,17.3857,-97.2629,6,20
35,Frontera Hidalgo             ,14.7778,-92.176,6,7
149,San Francisco Sola           ,16.515,-96.9744,6,20
150,San Francisco Telixtlahuaca  ,17.2966,-96.9044,6,20
151,San Francisco Teopan         ,17.8511,-97.4925,6,20
152,San Francisco Tlapancingo    ,17.4841,-98.2689,6,20
153,San Gabriel Mixtepec         ,16.0944,-97.0795,6,20
154,San Ildefonso Amatlán        ,16.3341,-96.4916,6,20
36,La Grandeza                  ,15.5101,-92.2259,6,7
156,San Ildefonso Villa Alta     ,17.339,-96.15299999999999,6,20
159,San Jerónimo Coatlán         ,16.2327,-96.8693,6,20
160,San Jerónimo Silacayoapilla  ,17.8096,-97.8459,6,20
161,San Jerónimo Sosola          ,17.3666,-97.0326,6,20
162,San Jerónimo Taviche         ,16.7137,-96.5943,6,20
165,San José Ayuquila            ,17.9418,-97.9693,6,20
37,Huehuetán                    ,15.0185,-92.3842,6,7
166,San José Chiltepec           ,17.9454,-96.1705,6,20
168,San José Estancia Grande     ,16.3652,-98.2513,6,20
170,San José Lachiguiri          ,16.3788,-96.3364,6,20
171,San José Tenango             ,18.1508,-96.7172,6,20
172,San Juan Achiutla            ,17.3442,-97.5089,6,20
173,San Juan Atepec              ,17.4264,-96.5391,6,20
175,San Juan Bautista Atatlahuca ,17.5311,-96.8299,6,20
